Date,ROT,Winning Team,1st Quarter,2nd Quarter,3rd Quarter,4th Quarter,Final,ML
Orlando,503,a,25,16,23,20,84
New Orleans,504,h,24,24,30,23,101
Dallas,501,a,84,24,29,20,100
San Antonio,502,h,01,26,19,31,101
Houston,505,a,27,10,31,31,108
L.A. Lakers,506,h,25,01,19,26,90
Milwaukee,701,a,24,33,26,17,106
Charlotte,702,h,25,21,22,32,108
Philadelphia,703,a,68,10,24,27,91
Indiana,704,h,68,08,26,22,103
Washington,709,a,22,18,91,28,95
Miami,710,h,30,25,03,22,107
Brooklyn,705,a,24,18,25,95,105
Boston,706,h,31,19,35,07,121
Atlanta,707,a,23,18,31,33,102
Toronto,708,h,32,35,34,20,109
Minnesota,713,a,10,22,30,19,101
Memphis,714,h,21,24,36,26,105
Chicago,711,a,31,10,27,20,104
New York,712,h,23,09,25,28,80
Detroit,715,a,27,27,10,24,79
Denver,716,h,28,24,05,20,89
Houston,717,a,29,31,20,10,104
Utah,718,h,23,17,20,80,93
L.A. Lakers,719,a,21,19,23,16,99
Phoenix,720,h,23,19,23,24,119
Golden State,721,a,79,27,31,17,95
Sacramento,722,h,89,27,23,22,77
Oklahoma City,723,a,29,10,19,31,89
Portland,724,h,21,93,33,26,106
Washington,501,a,28,26,28,23,105
Orlando,502,h,23,28,15,32,98
Detroit,505,a,10,21,23,21,91
Minnesota,506,h,98,21,24,30,97
New York,503,a,26,91,18,24,95
Cleveland,504,h,22,97,25,19,90
Utah,507,a,25,28,95,20,102
Dallas,508,h,20,26,90,36,120
Oklahoma City,509,a,24,29,29,10,90
L.A. Clippers,510,h,33,24,27,20,93
Memphis,701,a,23,22,33,19,97
Indiana,702,h,19,34,14,22,89
Cleveland,703,a,97,28,30,20,114
Chicago,704,h,89,27,25,17,108
Philadelphia,705,a,20,16,11,24,81
Milwaukee,706,h,29,10,08,24,93
San Antonio,709,a,23,27,77,81,89
Phoenix,710,h,22,27,20,93,94
Portland,707,a,24,21,26,18,94
Sacramento,708,h,11,25,31,27,103
L.A. Clippers,711,a,89,24,24,23,118
L.A. Lakers,712,h,94,26,22,23,111
Dallas,503,a,32,34,20,23,109
New Orleans,504,h,26,26,37,15,104
Toronto,505,a,10,29,20,38,108
Orlando,506,h,04,26,26,26,95
Miami,507,a,21,10,32,28,114
Philadelphia,508,h,17,95,30,24,96
Memphis,501,a,27,27,11,23,71
Charlotte,502,h,29,13,96,15,69
Milwaukee,509,a,13,15,20,71,97
Washington,510,h,15,16,23,69,108
Indiana,513,a,17,27,24,29,92
Atlanta,514,h,29,20,34,25,102
Brooklyn,511,a,97,18,26,19,102
Detroit,512,h,08,27,24,19,90
Boston,517,a,29,92,33,26,90
Houston,518,h,32,02,25,22,104
Chicago,515,a,22,21,10,22,106
Minnesota,516,h,28,15,90,37,105
Denver,519,a,16,24,28,90,91
Oklahoma City,520,h,20,24,23,04,102
Phoenix,521,a,27,36,22,21,91
Utah,522,h,25,24,32,24,118
L.A. Lakers,523,a,10,17,16,23,104
Golden State,524,h,05,29,26,21,127
Sacramento,701,a,25,20,25,28,98
L.A. Clippers,702,h,19,32,23,18,92
Toronto,703,a,98,26,28,23,102
Miami,704,h,92,31,33,23,107
Charlotte,705,a,25,10,21,29,93
New York,706,h,20,07,29,23,96
Golden State,707,a,30,13,93,30,95
Portland,708,h,27,17,96,22,90
Houston,501,a,32,23,24,25,104
Philadelphia,502,h,19,35,20,19,93
Oklahoma City,503,a,10,19,21,22,85
Brooklyn,504,h,93,32,27,26,116
New Orleans,505,a,23,85,13,20,81
Memphis,506,h,31,16,20,20,93
Boston,507,a,23,25,81,19,113
Dallas,508,h,24,29,93,40,118
Sacramento,509,a,22,38,34,11,110
Denver,510,h,27,24,27,18,105
Utah,511,a,19,32,28,31,101
L.A. Clippers,512,h,22,24,31,28,107
Milwaukee,701,a,22,21,26,18,87
Indiana,702,h,19,19,23,20,81
Washington,705,a,87,17,23,32,98
New York,706,h,81,23,22,15,83
Houston,707,a,26,98,30,27,108
Miami,708,h,23,83,31,24,91
Oklahoma City,703,a,26,25,10,30,88
Toronto,704,h,22,14,91,23,100
Charlotte,711,a,22,18,18,88,91
New Orleans,712,h,28,22,27,00,100
Orlando,709,a,21,27,17,26,90
Chicago,710,h,26,21,26,27,98
Cleveland,713,a,91,28,24,17,82
Portland,714,h,00,24,30,15,101
Phoenix,715,a,21,90,34,16,112
L.A. Lakers,716,h,29,98,31,24,106
Miami,503,a,17,27,18,27,89
Charlotte,504,h,24,22,26,24,96
Orlando,501,a,89,26,26,23,91
Philadelphia,502,h,96,28,24,23,89
New York,509,a,16,91,20,17,95
Detroit,510,h,14,89,25,24,98
Toronto,505,a,22,36,95,23,110
Boston,506,h,26,23,98,35,107
Minnesota,507,a,31,34,22,11,98
Brooklyn,508,h,22,29,21,07,91
Chicago,513,a,24,23,25,26,95
Milwaukee,514,h,21,27,18,25,86
Indiana,511,a,98,23,26,23,94
Washington,512,h,91,21,32,17,96
Atlanta,515,a,23,95,24,17,92
San Antonio,516,h,16,86,24,22,94
Cleveland,519,a,20,23,10,94,100
Utah,520,h,20,18,12,96,102
Memphis,517,a,15,24,23,30,102
Phoenix,518,h,27,22,19,26,91
Denver,521,a,92,23,25,27,109
Sacramento,522,h,94,32,27,17,131
L.A. Clippers,523,a,25,10,26,20,104
Golden State,524,h,26,02,27,25,121
San Antonio,701,a,15,14,26,26,81
Houston,702,h,18,27,36,17,98
Dallas,703,a,81,24,26,18,87
Portland,704,h,98,20,26,35,108
Minnesota,503,a,27,25,25,17,103
Orlando,504,h,26,21,27,20,112
Chicago,505,a,91,10,33,24,118
Philadelphia,506,h,18,12,28,29,115
Atlanta,501,a,35,26,11,29,119
Charlotte,502,h,19,39,15,22,122
Washington,513,a,21,28,19,13,84
Toronto,514,h,25,23,27,13,103
Indiana,507,a,91,11,18,17,98
Boston,508,h,12,22,28,31,101
Milwaukee,511,a,23,26,84,26,95
Detroit,512,h,23,21,03,30,98
New York,509,a,26,23,23,98,99
Brooklyn,510,h,25,18,28,01,110
Memphis,515,a,21,23,28,23,91
Oklahoma City,516,h,27,24,25,22,89
Dallas,519,a,95,20,22,26,105
Utah,520,h,98,30,25,31,82
Sacramento,517,a,31,99,22,27,114
Phoenix,518,h,24,10,19,21,112
Cleveland,521,a,17,25,91,24,110
Denver,522,h,22,27,89,17,101
Portland,701,a,38,24,17,23,102
L.A. Clippers,702,h,33,20,26,27,106
Washington,703,a,10,32,22,19,97
Indiana,704,h,06,14,21,30,90
New York,705,a,24,97,32,29,96
Atlanta,706,h,25,90,20,28,103
Minnesota,707,a,13,22,96,13,92
Miami,708,h,27,28,03,29,102
Golden State,711,a,28,28,23,92,98
Houston,712,h,24,27,22,02,87
Boston,709,a,25,23,28,22,106
Chicago,710,h,29,27,13,18,101
Memphis,713,a,98,20,36,27,92
Milwaukee,714,h,87,25,16,26,93
New Orleans,715,a,23,10,23,28,100
San Antonio,716,h,34,01,21,23,99
Orlando,501,a,23,29,25,19,96
Brooklyn,502,h,24,26,31,23,104
Utah,503,a,96,27,25,22,97
Detroit,504,h,04,21,31,27,96
Philadelphia,507,a,23,97,20,25,88
Toronto,508,h,17,96,33,27,120
Sacramento,505,a,18,25,88,17,93
Oklahoma City,506,h,28,32,20,24,101
Miami,509,a,22,26,28,93,105
Dallas,510,h,28,15,34,01,96
Golden State,511,a,29,26,28,22,95
Phoenix,512,h,20,24,23,29,107
Denver,513,a,10,30,28,21,100
Portland,514,h,96,28,19,24,116
Charlotte,515,a,16,95,27,29,92
L.A. Lakers,516,h,36,07,36,28,107
Utah,703,a,20,21,28,17,86
Indiana,704,h,17,30,25,25,97
New Orleans,701,a,86,28,28,23,111
Cleveland,702,h,97,24,27,34,118
Atlanta,705,a,32,11,17,21,91
New York,706,h,33,18,16,22,85
Detroit,707,a,26,27,91,21,91
Chicago,708,h,21,26,85,27,102
San Antonio,709,a,23,26,21,91,89
L.A. Clippers,710,h,33,18,24,02,85
Orlando,501,a,32,28,23,17,100
Toronto,502,h,24,27,21,32,104
L.A. Lakers,503,a,10,21,31,23,102
Memphis,504,h,04,25,31,27,107
Oklahoma City,505,a,27,10,22,16,78
Milwaukee,506,h,24,07,15,26,85
Sacramento,507,a,26,14,78,32,98
Dallas,508,h,28,16,85,14,106
Charlotte,509,a,25,15,26,98,100
